Teacher,Class,Registered,Attended,Class Time
James Harris,Science - Geology 1,59,59,15:00:00
George Martin,History - World History AP,9,2,12:30:00
Amy Roebuck,English - Language 2,93,13,11:30:00
Harry James,Math - Algebra 2,68,13,12:00:00
Bill Sluss,Technology - Programming  1,61,32,15:00:00
John Jacob,Technology - Programming  3,77,48,11:30:00
Jim Jeffs,Math - Algebra 1,45,45,12:00:00
Jessica Taylor,English - Language 1,7,7,10:00:00
Jake Anderson,History - World History AP,121,27,08:30:00
Beverly Thomas,Science - Biology 2,92,22,12:00:00
Rick White,Gym 2,147,41,13:00:00
James Harris,Health 3A,140,132,15:30:00
George Martin,Technology - Programming  2,49,15,14:30:00
Amy Roebuck,Math - Algebra 2,14,2,08:30:00
Harry James,English - Language 2,6,2,12:00:00
Bill Sluss,History - US History AP,73,11,09:30:00
John Jacob,Science - Geology 2,92,33,08:30:00
Jim Jeffs,Gym 1,72,72,13:30:00
Jessica Taylor,Health 3B,132,132,16:00:00
Jake Anderson,Technology - Networking 1,134,134,15:00:00
Beverly Thomas,Technology - Networking 2,147,8,08:00:00
Rick White,Technology - Networking 3,147,36,16:00:00
James Harris,Science - Biology 3,80,28,08:00:00
George Martin,Science - Biology 4,42,10,12:30:00
Amy Roebuck,Science - Biology 1,137,82,13:00:00
Harry James,Health 3A,36,6,09:30:00
Bill Sluss,Health 2,128,27,11:30:00
John Jacob,Health 1,75,75,16:00:00
Jim Jeffs,Science - Geology 1,60,60,14:30:00
Jessica Taylor,History - World History AP,136,66,16:00:00
Jake Anderson,English - Language 2,16,14,15:00:00
Beverly Thomas,Math - Algebra 2,67,7,11:00:00
Rick White,Technology - Programming  1,91,91,16:00:00
James Harris,Technology - Programming  3,50,25,10:30:00
George Martin,Math - Algebra 1,70,70,16:00:00
Amy Roebuck,English - Language 1,43,23,13:00:00
Harry James,History - World History AP,148,10,08:30:00
Bill Sluss,Science - Biology 2,14,4,12:30:00
John Jacob,Gym 2,51,45,13:30:00
Jim Jeffs,Health 3A,88,45,15:30:00
Jessica Taylor,Technology - Programming  2,35,12,09:30:00
Jake Anderson,Math - Algebra 2,135,30,09:00:00
Beverly Thomas,English - Language 2,37,7,15:00:00
Rick White,History - US History AP,94,9,10:30:00
James Harris,Science - Geology 2,59,13,10:00:00
George Martin,Gym 1,120,61,11:30:00
Amy Roebuck,Health 3B,13,4,13:30:00
Harry James,Technology - Networking 1,125,111,14:30:00
Bill Sluss,Technology - Networking 2,46,8,09:30:00
John Jacob,Technology - Networking 3,73,36,10:30:00
Jim Jeffs,Science - Biology 3,43,43,15:30:00
Jessica Taylor,Science - Biology 4,23,14,10:30:00
Jake Anderson,Science - Biology 1,135,131,10:30:00
Beverly Thomas,Health 3A,21,4,11:00:00
Rick White,Health 2,31,11,13:30:00
James Harris,Health 1,96,96,13:00:00
George Martin,Science - Geology 1,22,14,16:00:00
Amy Roebuck,History - World History AP,45,8,12:00:00
Harry James,English - Language 2,95,44,16:00:00
Bill Sluss,Math - Algebra 2,39,7,13:00:00
John Jacob,Technology - Programming  1,20,15,08:00:00
Jim Jeffs,Technology - Programming  3,29,10,10:30:00
Jessica Taylor,Math - Algebra 1,99,99,11:30:00
Jake Anderson,English - Language 1,123,123,13:30:00
Beverly Thomas,History - World History AP,14,5,13:00:00
Rick White,Science - Biology 2,106,29,12:00:00
James Harris,Gym 2,102,59,12:00:00
George Martin,Health 3A,102,30,13:30:00
Amy Roebuck,Technology - Programming  2,129,17,09:30:00
Harry James,Math - Algebra 2,130,43,14:00:00
Bill Sluss,English - Language 2,131,37,13:30:00
John Jacob,History - US History AP,51,48,13:30:00
Jim Jeffs,Science - Geology 2,129,51,09:30:00
Jessica Taylor,Gym 1,64,64,12:00:00
Jake Anderson,Health 3B,26,25,13:30:00
Beverly Thomas,Technology - Networking 1,144,45,09:30:00
Rick White,Technology - Networking 2,75,20,14:30:00
James Harris,Technology - Networking 3,91,54,11:30:00
George Martin,Science - Biology 3,120,23,12:30:00
Amy Roebuck,Science - Biology 4,19,3,10:30:00
Harry James,Science - Biology 1,83,16,09:00:00
Bill Sluss,Health 3A,67,5,08:30:00
John Jacob,Health 2,50,26,11:00:00
Jim Jeffs,Health 1,114,114,09:00:00
Jessica Taylor,Science - Geology 1,63,63,15:30:00
Jake Anderson,History - World History AP,57,57,15:30:00
Beverly Thomas,English - Language 2,55,14,16:00:00
Rick White,Math - Algebra 2,33,8,13:30:00
James Harris,Technology - Programming  1,146,146,13:00:00
George Martin,Technology - Programming  3,36,12,14:30:00
Amy Roebuck,Math - Algebra 1,81,26,09:00:00
Harry James,English - Language 1,94,78,14:00:00
Bill Sluss,History - World History AP,50,19,16:00:00
John Jacob,Science - Biology 2,58,22,12:00:00
Jim Jeffs,Gym 2,59,26,14:00:00
Jessica Taylor,Health 3A,66,34,11:00:00
Jake Anderson,Technology - Programming  2,120,118,14:30:00
Beverly Thomas,Math - Algebra 2,93,11,08:30:00
Rick White,English - Language 2,68,5,10:00:00
James Harris,History - US History AP,84,22,08:30:00
George Martin,Science - Geology 2,107,25,11:30:00
Amy Roebuck,Gym 1,146,108,13:00:00
Harry James,Health 3B,37,7,15:00:00
Bill Sluss,Technology - Networking 1,67,32,13:30:00
John Jacob,Technology - Networking 2,115,67,16:00:00
Jim Jeffs,Technology - Networking 3,96,96,16:00:00
Jessica Taylor,Science - Biology 3,141,85,13:30:00
Jake Anderson,Science - Biology 4,41,21,10:30:00
Beverly Thomas,Science - Biology 1,66,23,10:00:00
Rick White,Health 3A,143,23,10:30:00
James Harris,Health 2,6,3,13:00:00
George Martin,Health 1,150,74,09:30:00
Amy Roebuck,Science - Geology 1,48,27,12:30:00
Harry James,History - World History AP,112,33,15:30:00
Bill Sluss,English - Language 2,12,1,08:30:00
John Jacob,Math - Algebra 2,150,85,11:30:00
Jim Jeffs,Technology - Programming  1,46,36,08:00:00
Jessica Taylor,Technology - Programming  3,65,27,13:00:00
Jake Anderson,Math - Algebra 1,150,150,11:30:00
Beverly Thomas,English - Language 1,110,21,09:00:00
Rick White,History - World History AP,132,27,10:30:00
James Harris,Science - Biology 2,37,19,12:30:00
George Martin,Gym 2,130,10,09:30:00
Amy Roebuck,Health 3A,24,8,14:00:00
Harry James,Technology - Programming  2,13,3,15:00:00
Bill Sluss,Math - Algebra 2,85,9,09:00:00
John Jacob,English - Language 2,45,11,08:30:00
Jim Jeffs,History - US History AP,53,11,09:00:00
Jessica Taylor,Science - Geology 2,122,74,12:00:00
Jake Anderson,Gym 1,63,63,16:00:00
Beverly Thomas,Health 3B,60,8,12:00:00
Rick White,Technology - Networking 1,10,7,13:00:00
James Harris,Technology - Networking 2,70,31,12:00:00
George Martin,Technology - Networking 3,149,37,12:30:00
Amy Roebuck,Science - Biology 3,147,11,08:30:00
Harry James,Science - Biology 4,54,10,11:00:00
Bill Sluss,Science - Biology 1,140,77,13:00:00
John Jacob,Health 3A,110,70,14:00:00
Jim Jeffs,Health 2,47,10,10:00:00
Jessica Taylor,Health 1,75,72,08:30:00
Jake Anderson,Science - Geology 1,133,133,09:30:00
Beverly Thomas,History - World History AP,28,6,12:00:00
Rick White,English - Language 2,79,21,12:30:00
James Harris,Math - Algebra 2,74,61,12:30:00
George Martin,Technology - Programming  1,117,85,13:00:00
Amy Roebuck,Technology - Programming  3,104,22,11:30:00
Harry James,Math - Algebra 1,17,12,15:30:00
Bill Sluss,English - Language 1,23,16,14:00:00
John Jacob,History - World History AP,137,76,11:00:00
Jim Jeffs,Science - Biology 2,128,37,08:30:00
Jessica Taylor,Gym 2,124,78,12:30:00
Jake Anderson,Health 3A,42,42,14:30:00
Beverly Thomas,Technology - Programming  2,135,17,09:00:00
Rick White,Math - Algebra 2,7,1,10:30:00
James Harris,English - Language 2,93,55,11:30:00
George Martin,History - US History AP,65,15,15:00:00
Amy Roebuck,Science - Geology 2,102,25,13:30:00
Harry James,Gym 1,26,24,13:00:00
Bill Sluss,Health 3B,47,12,12:30:00
John Jacob,Technology - Networking 1,70,52,11:00:00
Jim Jeffs,Technology - Networking 2,43,18,09:30:00
Jessica Taylor,Technology - Networking 3,22,19,15:00:00
Jake Anderson,Science - Biology 3,137,52,10:00:00
Beverly Thomas,Science - Biology 4,82,6,09:00:00
Rick White,Science - Biology 1,130,51,11:00:00
James Harris,Health 3A,110,81,13:00:00
George Martin,Health 2,58,7,13:00:00
Amy Roebuck,Health 1,129,94,11:30:00
Harry James,Science - Geology 1,93,87,13:30:00
Bill Sluss,History - World History AP,39,7,14:00:00
John Jacob,English - Language 2,53,18,08:00:00
Jim Jeffs,Math - Algebra 2,101,66,15:30:00
Jessica Taylor,Technology - Programming  1,28,28,10:00:00
Jake Anderson,Technology - Programming  3,29,27,14:30:00
Beverly Thomas,Math - Algebra 1,58,33,11:30:00
Rick White,English - Language 1,150,56,14:00:00
James Harris,History - World History AP,10,3,09:00:00
George Martin,Science - Biology 2,92,19,10:30:00
Amy Roebuck,Gym 2,82,11,11:00:00
Harry James,Health 3A,56,4,08:30:00
Bill Sluss,Technology - Programming  2,88,12,09:00:00
John Jacob,Math - Algebra 2,73,58,15:00:00
Jim Jeffs,English - Language 2,125,44,09:00:00
Jessica Taylor,History - US History AP,132,121,13:00:00
Jake Anderson,Science - Geology 2,146,94,13:30:00
Beverly Thomas,Gym 1,40,28,12:00:00
Rick White,Health 3B,138,8,09:00:00
James Harris,Technology - Networking 1,113,110,10:30:00
George Martin,Technology - Networking 2,75,36,16:00:00
Amy Roebuck,Technology - Networking 3,72,20,14:00:00
Harry James,Science - Biology 3,34,8,11:00:00
Bill Sluss,Science - Biology 4,116,35,14:00:00
John Jacob,Science - Biology 1,9,9,13:30:00
Jim Jeffs,Health 3A,36,21,10:30:00
Jessica Taylor,Health 2,72,72,14:30:00
Jake Anderson,Health 1,147,103,10:30:00
Beverly Thomas,Science - Geology 1,125,106,15:00:00
Rick White,History - World History AP,108,14,09:00:00
James Harris,English - Language 2,36,17,12:00:00
George Martin,Math - Algebra 2,68,7,08:00:00
Amy Roebuck,Technology - Programming  1,85,72,13:00:00
Harry James,Technology - Programming  3,50,8,10:30:00
Bill Sluss,Math - Algebra 1,38,20,15:30:00
John Jacob,English - Language 1,76,76,09:30:00
Jim Jeffs,History - World History AP,109,53,14:00:00
Jessica Taylor,Science - Biology 2,140,95,14:00:00
Jake Anderson,Gym 2,6,3,11:00:00
Beverly Thomas,Health 3A,142,34,15:30:00
Rick White,Technology - Programming  2,148,28,10:00:00
James Harris,Math - Algebra 2,132,37,08:00:00
George Martin,English - Language 2,145,13,08:30:00
Amy Roebuck,History - US History AP,77,9,13:00:00
Harry James,Science - Geology 2,141,11,09:30:00
Bill Sluss,Gym 1,26,5,08:30:00
John Jacob,Health 3B,5,2,10:30:00
Jim Jeffs,Technology - Networking 1,97,91,08:00:00
Jessica Taylor,Technology - Networking 2,77,19,11:00:00
Jake Anderson,Technology - Networking 3,98,98,15:30:00
Beverly Thomas,Science - Biology 3,131,50,15:00:00
Rick White,Science - Biology 4,22,7,16:00:00
James Harris,Science - Biology 1,63,63,08:00:00
George Martin,Health 3A,56,8,11:30:00
Amy Roebuck,Health 2,32,4,12:00:00
Harry James,Health 1,133,73,11:00:00
Bill Sluss,Science - Geology 1,87,58,11:00:00
John Jacob,History - World History AP,13,9,11:00:00
Jim Jeffs,English - Language 2,97,85,14:00:00
Jessica Taylor,Math - Algebra 2,121,96,12:30:00
Jake Anderson,Technology - Programming  1,65,65,16:00:00
Beverly Thomas,Technology - Programming  3,95,6,08:00:00
Rick White,Math - Algebra 1,136,102,16:00:00
James Harris,English - Language 1,7,7,16:00:00
George Martin,History - World History AP,46,9,10:30:00
Amy Roebuck,Science - Biology 2,22,4,09:00:00
Harry James,Gym 2,15,4,14:30:00
Bill Sluss,Health 3A,67,25,16:00:00
John Jacob,Technology - Programming  2,35,10,08:00:00
Jim Jeffs,Math - Algebra 2,71,50,12:30:00
Jessica Taylor,English - Language 2,76,37,13:30:00
Jake Anderson,History - US History AP,122,60,11:00:00
Beverly Thomas,Science - Geology 2,75,6,08:00:00
Rick White,Gym 1,22,18,14:00:00
James Harris,Health 3B,74,36,14:00:00
George Martin,Technology - Networking 1,55,20,09:30:00
Amy Roebuck,Technology - Networking 2,94,16,15:00:00
Harry James,Technology - Networking 3,28,6,15:30:00
Bill Sluss,Science - Biology 3,98,31,15:00:00
John Jacob,Science - Biology 4,61,40,12:30:00
Jim Jeffs,Science - Biology 1,140,85,08:30:00
Jessica Taylor,Health 3A,101,42,14:30:00
Jake Anderson,Health 2,127,127,14:30:00
Beverly Thomas,Health 1,42,42,15:00:00
Rick White,Science - Geology 1,60,9,08:00:00
James Harris,History - World History AP,85,81,13:00:00
George Martin,English - Language 2,96,5,08:00:00
Amy Roebuck,Math - Algebra 2,84,9,09:30:00
Harry James,Technology - Programming  1,110,41,13:30:00
Bill Sluss,Technology - Programming  3,40,6,10:30:00
John Jacob,Math - Algebra 1,45,42,10:30:00
Jim Jeffs,English - Language 1,67,48,08:00:00
Jessica Taylor,History - World History AP,74,74,15:30:00
Jake Anderson,Science - Biology 2,96,83,16:00:00
Beverly Thomas,Gym 2,12,3,15:00:00
Rick White,Health 3A,88,14,11:30:00
James Harris,Technology - Programming  2,149,54,12:00:00
George Martin,Math - Algebra 2,127,27,12:00:00
Amy Roebuck,English - Language 2,89,11,10:00:00
Harry James,History - US History AP,34,9,11:30:00
Bill Sluss,Science - Geology 2,35,5,09:00:00
John Jacob,Gym 1,89,89,15:30:00
Jim Jeffs,Health 3B,33,33,14:30:00
Jessica Taylor,Technology - Networking 1,148,148,15:30:00
Jake Anderson,Technology - Networking 2,84,37,12:30:00
Beverly Thomas,Technology - Networking 3,67,9,10:00:00
Rick White,Science - Biology 3,118,10,08:00:00
James Harris,Science - Biology 4,91,35,08:30:00
George Martin,Science - Biology 1,92,56,11:00:00
Amy Roebuck,Health 3A,67,11,11:00:00
Harry James,Health 2,78,17,12:00:00
Bill Sluss,Health 1,67,31,09:30:00
John Jacob,Science - Geology 1,16,16,15:00:00
Jim Jeffs,History - World History AP,27,18,11:00:00
Jessica Taylor,English - Language 2,96,45,12:00:00
Jake Anderson,Math - Algebra 2,84,59,12:00:00
Beverly Thomas,Technology - Programming  1,83,27,10:30:00
Rick White,Technology - Programming  3,6,1,09:00:00
James Harris,Math - Algebra 1,32,25,10:30:00
George Martin,English - Language 1,34,7,08:00:00
Amy Roebuck,History - World History AP,19,4,12:00:00
Harry James,Science - Biology 2,19,4,10:30:00
Bill Sluss,Gym 2,33,7,13:30:00
John Jacob,Health 3A,67,16,08:30:00
Jim Jeffs,Technology - Programming  2,14,5,08:00:00
Jessica Taylor,Math - Algebra 2,5,2,08:30:00
Jake Anderson,English - Language 2,92,42,09:00:00
Beverly Thomas,History - US History AP,94,14,11:00:00
Rick White,Science - Geology 2,126,20,15:00:00
James Harris,Gym 1,69,54,08:00:00
George Martin,Health 3B,39,11,14:00:00
Amy Roebuck,Technology - Networking 1,123,65,12:30:00
Harry James,Technology - Networking 2,32,4,09:30:00
Bill Sluss,Technology - Networking 3,44,12,12:00:00
John Jacob,Science - Biology 3,53,30,16:00:00
Jim Jeffs,Science - Biology 4,18,9,11:30:00
Jessica Taylor,Science - Biology 1,128,119,11:30:00
Jake Anderson,Health 3A,75,36,16:00:00
Beverly Thomas,Health 2,25,9,13:30:00
Rick White,Health 1,137,94,12:00:00
James Harris,Science - Geology 1,42,30,08:00:00
George Martin,History - World History AP,28,6,10:30:00
Amy Roebuck,English - Language 2,142,35,14:00:00
Harry James,Math - Algebra 2,71,19,13:30:00
Bill Sluss,Technology - Programming  1,35,9,10:00:00
John Jacob,Technology - Programming  3,31,8,11:30:00
Jim Jeffs,Math - Algebra 1,81,81,15:30:00
Jessica Taylor,English - Language 1,27,27,12:30:00
Jake Anderson,History - World History AP,27,25,14:30:00
Beverly Thomas,Science - Biology 2,69,20,15:30:00
Rick White,Gym 2,31,2,08:30:00
James Harris,Health 3A,101,41,10:00:00
George Martin,Technology - Programming  2,48,12,14:30:00
Amy Roebuck,Math - Algebra 2,32,6,11:30:00
Harry James,English - Language 2,84,6,10:00:00
Bill Sluss,History - US History AP,73,23,13:00:00
John Jacob,Science - Geology 2,78,22,10:30:00
Jim Jeffs,Gym 1,6,6,12:00:00
Jessica Taylor,Health 3B,70,33,11:00:00
Jake Anderson,Technology - Networking 1,36,36,12:00:00
Beverly Thomas,Technology - Networking 2,18,3,14:00:00
Rick White,Technology - Networking 3,108,9,09:30:00
James Harris,Science - Biology 3,98,38,14:00:00
George Martin,Science - Biology 4,50,16,15:30:00
Amy Roebuck,Science - Biology 1,94,67,13:00:00
Harry James,Health 3A,87,20,15:30:00
Bill Sluss,Health 2,14,5,16:00:00
John Jacob,Health 1,126,105,10:00:00
Jim Jeffs,Science - Geology 1,137,115,11:30:00
Jessica Taylor,History - World History AP,150,83,14:30:00
Jake Anderson,English - Language 2,7,5,13:00:00
Beverly Thomas,Math - Algebra 2,23,6,12:00:00
Rick White,Technology - Programming  1,106,88,15:30:00
James Harris,Technology - Programming  3,83,53,13:30:00
George Martin,Math - Algebra 1,87,38,12:30:00
Amy Roebuck,English - Language 1,147,107,15:00:00
Harry James,History - World History AP,42,12,15:30:00
Bill Sluss,Science - Biology 2,117,17,11:00:00
John Jacob,Gym 2,90,29,12:00:00
Jim Jeffs,Health 3A,140,65,10:00:00
Jessica Taylor,Technology - Programming  2,140,35,08:30:00
Jake Anderson,Math - Algebra 2,34,17,14:30:00
Beverly Thomas,English - Language 2,68,15,14:30:00
Rick White,History - US History AP,143,22,13:00:00
James Harris,Science - Geology 2,90,48,12:00:00
George Martin,Gym 1,24,11,09:30:00
Amy Roebuck,Health 3B,110,13,10:30:00
Harry James,Technology - Networking 1,38,12,10:30:00
Bill Sluss,Technology - Networking 2,141,34,12:00:00
John Jacob,Technology - Networking 3,136,76,11:00:00
Jim Jeffs,Science - Biology 3,5,2,09:30:00
Jessica Taylor,Science - Biology 4,132,132,16:00:00
Jake Anderson,Science - Biology 1,78,78,12:00:00
Beverly Thomas,Health 3A,96,16,11:00:00
Rick White,Health 2,128,39,13:00:00
James Harris,Health 1,112,80,09:00:00
George Martin,Science - Geology 1,125,26,10:30:00
Amy Roebuck,History - World History AP,71,11,10:30:00
Harry James,English - Language 2,144,26,10:00:00
Bill Sluss,Math - Algebra 2,89,9,09:00:00
John Jacob,Technology - Programming  1,122,122,11:30:00
Jim Jeffs,Technology - Programming  3,66,12,08:30:00
Jessica Taylor,Math - Algebra 1,141,141,13:30:00
Jake Anderson,English - Language 1,93,93,16:00:00
Beverly Thomas,History - World History AP,132,42,14:30:00
Rick White,Science - Biology 2,51,23,15:30:00
James Harris,Gym 2,135,47,13:30:00
George Martin,Health 3A,129,47,14:00:00
Amy Roebuck,Technology - Programming  2,62,4,08:30:00
Harry James,Math - Algebra 2,66,13,10:30:00
Bill Sluss,English - Language 2,76,15,15:30:00
John Jacob,History - US History AP,67,48,12:00:00
Jim Jeffs,Science - Geology 2,44,35,13:30:00
Jessica Taylor,Gym 1,140,139,08:30:00
Jake Anderson,Health 3B,107,83,16:00:00
Beverly Thomas,Technology - Networking 1,104,31,11:00:00
Rick White,Technology - Networking 2,97,14,10:00:00
James Harris,Technology - Networking 3,79,26,13:00:00
George Martin,Science - Biology 3,127,12,10:30:00
Amy Roebuck,Science - Biology 4,39,7,13:30:00
Harry James,Science - Biology 1,5,3,14:00:00
Bill Sluss,Health 3A,25,5,12:00:00
John Jacob,Health 2,117,99,12:30:00
Jim Jeffs,Health 1,9,9,13:00:00
Jessica Taylor,Science - Geology 1,26,26,15:00:00
Jake Anderson,History - World History AP,119,119,16:00:00
Beverly Thomas,English - Language 2,116,17,09:30:00
Rick White,Math - Algebra 2,67,10,12:30:00
James Harris,Technology - Programming  1,31,28,08:00:00
George Martin,Technology - Programming  3,117,31,13:30:00
Amy Roebuck,Math - Algebra 1,58,35,11:00:00
Harry James,English - Language 1,147,97,11:00:00
Bill Sluss,History - World History AP,34,7,12:30:00
John Jacob,Science - Biology 2,34,34,16:00:00
Jim Jeffs,Gym 2,44,39,14:00:00
Jessica Taylor,Health 3A,36,11,12:00:00
Jake Anderson,Technology - Programming  2,67,27,10:00:00
Beverly Thomas,Math - Algebra 2,80,8,09:30:00
Rick White,English - Language 2,18,3,12:30:00
